Author: file,date
Scott Alexander-Bown: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2015-06-26T15:50:40Z
matthew: rootbeerlib/src/main/jni/toolChecker.cpp,2017-03-13T22:35:27Z
matthew: rootbeerlib/src/main/jniLibs/arm64-v8a/libtool-checker.so,2017-03-13T22:35:27Z
matthew: rootbeerlib/src/main/jniLibs/armeabi-v7a/libtool-checker.so,2017-03-13T22:35:27Z
matthew: rootbeerlib/src/main/jniLibs/armeabi/libtool-checker.so,2017-03-13T22:35:27Z
matthew: rootbeerlib/src/main/jniLibs/mips/libtool-checker.so,2017-03-13T22:35:27Z
matthew: rootbeerlib/src/main/jniLibs/mips64/libtool-checker.so,2017-03-13T22:35:27Z
matthew: rootbeerlib/src/main/jniLibs/x86/libtool-checker.so,2017-03-13T22:35:27Z
matthew: rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so,2017-03-13T22:35:27Z
matthew: rootbeerlib/src/main/jni/Android.mk,2017-03-13T22:35:27Z
matthew: rootbeerlib/src/main/jni/Application.mk,2017-03-13T22:35:27Z
matthew: rootbeerlib/src/main/jni/toolChecker.h,2017-03-13T22:35:27Z
leocadiotine: rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,2016-09-14T21:25:21Z
Scott Alexander-Bown: app/src/main/res/values/colors.xml,2015-09-16T12:14:10Z
Andy Barber: app/src/main/AndroidManifest.xml,2016-07-01T14:40:45Z
Andy Barber: app/src/main/assets/SubwayNovella.ttf,2016-07-01T14:40:45Z
Andy Barber: app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,2016-07-01T14:40:45Z
Andy Barber: app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,2016-07-01T14:40:45Z
Andy Barber: app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-hdpi/ic_action_github.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-hdpi/ic_info_outline_white_18dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-hdpi/ic_info_outline_white_24dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-hdpi/ic_info_outline_white_36dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-hdpi/ic_lock_open_white_24dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-mdpi/ic_info_outline_white_18dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-mdpi/ic_info_outline_white_24dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-mdpi/ic_info_outline_white_36dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-mdpi/ic_lock_open_white_24dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xhdpi/ic_action_github.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xhdpi/ic_cross_red_24dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xhdpi/ic_info_outline_white_18dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xhdpi/ic_info_outline_white_24dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xhdpi/ic_info_outline_white_36dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xhdpi/ic_lock_open_white_24dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xhdpi/ic_tick_green_24dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xxhdpi/ic_action_github.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xxhdpi/ic_info_outline_white_18dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xxhdpi/ic_info_outline_white_24dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xxhdpi/ic_info_outline_white_36dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xxhdpi/ic_lock_open_white_24dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xxxhdpi/ic_info_outline_white_18dp.png,2016-07-01T14:40:45Z
Andy Barber: app/src/main/res/drawable-xxxhdpi/ic_info_outline_white_24dp.png,2016-07-01T14:40:45Z
